Date,Clicks,Impressions,CTR,Position
2026-05-10,0,0,,
2026-05-11,0,0,,
2026-05-12,0,5,0%,31
2026-05-13,0,81,0%,52.4
2026-05-14,0,316,0%,60.4
2026-05-15,0,197,0%,71.2
2026-05-16,0,251,0%,70.8
2026-05-17,1,776,0.13%,64.2
2026-05-18,2,10984,0.02%,56.7
2026-05-19,2,21525,0.01%,52.9
2026-05-20,2,13247,0.02%,56.7
2026-05-21,1,3974,0.03%,57.6
2026-05-22,0,2051,0%,55.3
2026-05-23,0,1200,0%,53
2026-05-24,0,1292,0%,54.2
2026-05-25,1,1804,0.06%,55.5
2026-05-26,1,1349,0.07%,51.8
2026-05-27,0,2174,0%,52.9
2026-05-28,3,1987,0.15%,50.5
2026-05-29,1,1806,0.06%,51.2
