Country,Clicks,Impressions,CTR,Position
United Kingdom,12,63445,0.02%,55.47
India,1,61,1.64%,42.56
Thailand,1,6,16.67%,45.17
United States,0,923,0%,24.77
Ireland,0,110,0%,51.78
Australia,0,70,0%,49.06
Germany,0,38,0%,41.89
Switzerland,0,22,0%,55.23
Netherlands,0,21,0%,33.29
Canada,0,21,0%,34.33
Pakistan,0,20,0%,23.95
Italy,0,20,0%,40.55
Philippines,0,17,0%,52.41
Indonesia,0,16,0%,39.88
Russia,0,16,0%,53.88
Brazil,0,14,0%,39.93
Spain,0,14,0%,53.36
Turkey,0,11,0%,39.82
Vietnam,0,8,0%,23.12
France,0,8,0%,23.25
Hungary,0,8,0%,40
Saudi Arabia,0,7,0%,31
Portugal,0,7,0%,37.14
Ukraine,0,7,0%,56
Mexico,0,6,0%,31.67
Japan,0,6,0%,46.33
Morocco,0,6,0%,54.17
South Korea,0,5,0%,39.2
Sweden,0,4,0%,39
Poland,0,4,0%,42
Taiwan,0,4,0%,43.25
Bangladesh,0,3,0%,10.67
Paraguay,0,3,0%,21.33
Romania,0,3,0%,21.67
Belgium,0,3,0%,27.67
Argentina,0,3,0%,30.33
Malta,0,3,0%,37.33
Egypt,0,3,0%,40
South Africa,0,3,0%,41
Algeria,0,3,0%,45.33
Uruguay,0,3,0%,45.67
Malaysia,0,3,0%,48.67
Colombia,0,3,0%,55.33
Lithuania,0,3,0%,60
Slovakia,0,2,0%,3.5
Bulgaria,0,2,0%,11.5
Iran,0,2,0%,17.5
New Zealand,0,2,0%,17.5
Costa Rica,0,2,0%,22
Cameroon,0,2,0%,29
Iraq,0,2,0%,32.5
Norway,0,2,0%,39.5
Chile,0,2,0%,46
Nepal,0,2,0%,58.5
Austria,0,2,0%,72.5
Serbia,0,2,0%,80.5
China,0,1,0%,7
Israel,0,1,0%,7
Hong Kong,0,1,0%,12
Mauritius,0,1,0%,16
Ecuador,0,1,0%,17
Albania,0,1,0%,18
El Salvador,0,1,0%,19
Ethiopia,0,1,0%,24
United Arab Emirates,0,1,0%,25
Benin,0,1,0%,28
Singapore,0,1,0%,29
Unknown Region,0,1,0%,29
Estonia,0,1,0%,31
Kenya,0,1,0%,31
Sudan,0,1,0%,36
Panama,0,1,0%,38
Kuwait,0,1,0%,40
Peru,0,1,0%,41
Honduras,0,1,0%,43
Ghana,0,1,0%,44
Nigeria,0,1,0%,45
Guatemala,0,1,0%,46
Jordan,0,1,0%,63
Myanmar (Burma),0,1,0%,65
Rwanda,0,1,0%,68
Kazakhstan,0,1,0%,69
Afghanistan,0,1,0%,73
Oman,0,1,0%,76
Uganda,0,1,0%,80
Syria,0,1,0%,89
Venezuela,0,1,0%,96
